idx,m,a,b,n1,n2,n3,invert,vsplit,hsplit,periodicity,pixel_error,attempts
546,9,1.1574682213466903,0.3015804925103138,1.003292366087172,4.404493378352139,5.109620596341539,0,0,1,250,0.0,1
279,4,0.3343783010726111,0.8440439965800492,5.668735351294077,4.5579741603959745,5.760206859326684,0,0,0,280,0.0,1
259,3,0.35133130002103563,0.8986130977732126,3.86978330519171,5.710211631079337,0.634451555924456,1,0,0,250,0.0,6
434,8,0.9498960023314971,0.46263148634991424,1.1041183193109612,5.712027824759337,1.2748278952119496,1,1,0,210,0.0,4
27,2,0.6499211296138548,0.7458325463735466,1.2536329466380864,5.566343646782147,3.890930161960498,0,0,0,240,0.0,1
682,8,1.0708556025922844,0.855071373859764,2.0751222361300563,4.602687907364358,0.8028078110871882,1,0,0,280,0.0,1
410,7,0.5795918604441406,0.33454789868887025,4.698598435002358,2.0838447133515228,3.538830271902766,0,0,0,230,0.0,1
760,5,0.9388948512413514,0.9113258038001959,3.197992282683933,3.0353833098809644,3.344495566487839,1,0,0,210,0.0,1
206,11,0.7008857895390437,0.7207395208743149,0.7491259903872625,0.6481903825370396,1.1007036460113055,0,1,1,270,0.0,1
494,11,0.7037376992634301,0.6166795094938298,4.783947513473932,5.286350334092319,5.586374803287671,1,0,0,300,0.0,1
317,9,0.5200876934808092,0.792522216338366,1.7958790837466474,3.9689248952839304,4.402802391084562,1,0,1,240,0.0,1
369,11,0.6232938568948234,1.069255671540732,0.6928628108287643,5.96349121999231,4.432779987402946,0,0,0,260,0.0,5
582,10,0.9698473186698698,1.0601242046823878,4.2048675818917625,0.521804137145132,2.3685449417534663,0,1,0,290,0.0,2
19,3,0.815663292920508,0.809084510721118,3.972209612199442,4.834485746443298,1.5482026286944008,0,0,0,200,0.0002,6
895,5,0.43650419653368355,1.1089939010356005,1.1304222826782533,3.5130892025878655,3.4283073874811523,1,0,1,230,0.0,1
709,7,0.7437936021632209,0.968011295069207,1.7887285232744488,3.588496181210068,3.8509759356858893,0,0,0,230,0.0,1
553,10,0.9737178555059199,0.44363905535497167,4.191289428584523,1.4507286816011191,5.239174948380328,1,0,0,240,0.0,1
928,6,0.863708181215808,0.6281152713232185,4.35199687609488,1.0277373374000278,4.407648223252476,1,0,0,210,0.0042,6
183,4,0.5578748897169583,0.9349862001336643,0.9292354869021179,4.890300157226436,3.4325015285216183,0,1,0,230,0.0,1
505,10,0.3159214301959809,1.038770252302254,1.8112437924335794,3.941742165450424,2.7331647253928404,1,0,0,220,0.0,1
840,4,0.787528548149119,0.5310719748198361,0.9496642670112412,5.7569835168438805,4.992305228178786,0,0,1,260,0.0,1
432,6,0.869922402392672,0.482998147280497,2.80537791831147,1.594043440182306,4.738304233353891,1,0,0,300,0.0,4
986,7,1.1744395660130973,0.25519167358499295,5.497557218176283,2.7731884313900497,1.7467472640852113,0,0,0,270,0.0,6
987,2,0.3823883792653669,0.8430910179569707,2.8774284272303303,0.48668705951295427,4.617013225758548,1,1,1,210,0.0,3
113,11,0.6380644255191676,0.9441802768449902,1.9061292263084644,1.4584408373707165,4.030220012894342,0,1,0,290,0.0,1
447,5,0.8807032125874292,0.9282782298356035,1.5264462932784568,3.8101772999859196,5.915846070363987,0,0,0,240,0.0,1
405,8,0.27711755338475214,0.5949661779346073,3.248477750147262,5.922442036124706,3.859060998403176,1,1,1,290,0.0,1
825,10,0.5657048678286658,0.7617034044063277,2.4224659724656896,3.4031128635449974,0.7506515209815442,0,0,0,210,0.0,6
293,7,0.6495107008504735,0.744272090818572,3.7474934463729594,2.0208539152191385,0.50438947114432,0,0,0,220,0.0002,6
792,5,0.8982362350274864,1.0613078792340103,2.0207322720444014,0.5510348584065927,2.20521428671796,0,0,0,270,0.0,5
702,12,1.0397175667922056,0.5834985483311337,0.638547664733269,3.3043737378799283,5.59040842821335,0,0,0,240,0.0,1
4,2,1.0359467344184041,0.7715429639247425,4.891787754321273,0.4255423618778538,2.1368825328616157,0,1,0,280,0.0002,6
305,11,0.36719295640111593,0.75492957197792,5.6531907389672655,3.5096314951679317,4.71319881989409,1,0,1,260,0.0,1
996,2,0.8350711799343019,0.9844784641890115,0.507569889309744,5.135498060853285,5.02364763992448,0,1,0,270,0.0,1
219,2,0.5790634910833747,0.6716618443887519,4.513138774021438,3.7739237823837453,1.2568092253751078,0,0,1,270,0.0,3
427,2,0.5376937516328966,0.7478377990989038,2.499233434253635,3.5447035697657028,0.7981076984112486,1,0,0,280,0.0,1
610,9,0.6456841414064295,0.8852780477965306,4.454323369207788,2.2703731613210874,3.9717070601803437,1,0,0,240,0.0,1
99,3,0.7584195847735662,1.0549414278309133,4.3198988887943734,3.220684938178165,3.229908104292967,1,1,0,220,0.0,1
429,8,0.6034695529441139,0.837324147172723,4.4517226858149535,0.7597131862250524,5.216411609874024,1,0,0,250,0.0,1
242,9,0.8967023959843243,0.30858296763084087,4.344949905094311,0.8609420713401056,2.9124292716023126,0,0,0,240,0.0,1
593,11,0.550107412588419,0.9257300509871191,1.4496233120898572,2.5950335317617026,2.8683568830102346,0,0,0,210,0.0012,6
644,2,1.0400114972986814,0.2982718805780102,0.25595812042798827,3.316957336785506,2.8286732585667376,0,0,0,300,0.0,1
787,3,0.3621148469179446,0.926583034761801,5.218209043799974,4.827709005279077,3.477943458416057,1,0,0,280,0.0,1
